date,Taiwan,Local,Imported,Deaths,Recovered,Panshi,tbd
2020-08-15,482,55,390,7,450,36,1
2020-08-16,484,55,391,7,450,36,1
2020-08-17,485,55,393,7,450,36,1
2020-08-18,486,55,394,7,450,36,1
2020-08-19,486,55,394,7,457,36,1
2020-08-20,486,55,394,7,457,36,1
2020-08-21,486,55,394,7,457,36,1
2020-08-22,487,55,395,7,457,36,1
2020-08-23,487,55,395,7,457,36,1
2020-08-24,487,55,395,7,457,36,1
2020-08-25,487,55,395,7,457,36,1
2020-08-26,487,55,395,7,457,36,1
2020-08-27,487,55,395,7,457,36,1
2020-08-28,487,55,395,7,457,36,1
2020-08-29,488,55,396,7,457,36,1
2020-08-30,488,55,396,7,457,36,1
2020-08-31,488,55,396,7,457,36,1
2020-09-01,488,55,396,7,457,36,1
2020-09-02,489,55,397,7,457,36,1
2020-09-03,489,55,397,7,457,36,1
2020-09-04,490,55,398,7,457,36,1
2020-09-05,492,55,400,7,471,36,1
2020-09-06,493,55,401,7,473,36,1
2020-09-07,494,55,402,7,475,36,1
2020-09-08,495,55,403,7,475,36,1
2020-09-09,495,55,403,7,475,36,1
2020-09-10,496,55,404,7,475,36,1
2020-09-11,498,55,406,7,475,36,1
2020-09-12,498,55,406,7,475,36,1
2020-09-13,498,55,406,7,475,36,1
2020-09-14,499,55,407,7,476,36,1
2020-09-15,499,55,407,7,476,36,1
2020-09-16,499,55,407,7,476,36,1
2020-09-17,503,55,410,7,478,36,1
